"","Date Sampled","Address","1st Draw","2-3 Minute","5 Minute","geometry","intersection","fips"
"229","4/15/2019","80XX S SAGINAW AVE","1.6","1.5","1.6",c(-87.5604234, 41.749869),1811,"17031460302"
"230","12/13/2018","71XX N MELVINA AVE","9.1","8.9","7.3",c(-87.7822333, 42.010306),1195,"17031120100"
"231","5/20/2019","62XX S ELLIS AVE","< 1","< 1","< 1",c(-87.601567, 41.782064),685,"17031420400"
"232","8/11/2019","53XX N SAWYER AVE","9.8","6.6","4.8",c(-87.7099357, 41.9775882),2330,"17031831800"
"233","11/3/2019","16XX W RASCHER AVE","< 1","< 1","< 1",c(-87.6698285, 41.9807271),703,"17031030900"
"234","7/20/2019","37XX S EMERALD AVE","2.6","9.5","2.9",c(-87.6450484, 41.826977),2366,"17031839900"
"235","12/13/2019","26XX N WASHTENAW AVE","< 1","2.5","< 1",c(-87.6951042, 41.9287312),1043,"17031220300"
"236","9/27/2021","37XX N RIDGEWAY AVE","3.5","6.4","3.2",c(-87.721349, 41.9493181),1685,"17031160900"
"237","4/15/2019","40XX W EDDY ST","1.2","1.4","1",c(-87.7273699, 41.9456101),1092,"17031831100"
"238","9/8/2021","37XX W 60th Pl","See Follow-Up Sequential Sampling Table for Results",NA,NA,c(-87.7156894, 41.7835496),707,"17031650100"
"239","6/3/2018","19XX N SHEFFIELD AVE","3","2.9","2.3",c(-87.6535539, 41.9161367),1118,"17031832600"
"240","3/17/2020","66XX N ONARGA AVE","5.3","3.5","1.4",c(-87.8099152, 42.0002141),1192,"17031090200"
"241","5/4/2018","31XX N SAWYER AVE","1.7","4.2","1.4",c(-87.7091819, 41.9376364),1041,"17031210601"
"242","11/4/2018","66XX N GLENWOOD AVE","1","3.5","3.1",c(-87.6658738, 42.0019321),1766,"17031010600"
"243","9/17/2019","17XX W ARTHUR AVE","3.8","6.5","3.6",c(-87.6722667, 42.0008254),1107,"17031830600"
"244","8/24/2018","39XX N RAVENSWOOD AVE","2.2","2.8","2.7",c(-87.6741628, 41.9523937),1499,"17031050600"
"245","8/30/2020","81XX S MARQUETTE AVE","< 1","< 1","< 1",c(-87.5591876, 41.748046),1811,"17031460302"
"246","8/4/2018","52XX S GREENWOOD AVE","2.7","12","4.2",c(-87.6000558, 41.8007714),1712,"17031410600"
"247","8/14/2020","14XX W CORTEZ ST","< 1","< 1","< 1",c(-87.6631696, 41.9006979),964,"17031242000"
"248","10/27/2021","120XX S LAFAYETTE AVE","1.4","<1.0","<1.0",c(-87.6240811, 41.6760475),224,"17031530501"
"249","1/17/2017","18XX N LEAVITT ST****","See Follow-Up Sequential Sampling Table for Results",NA,NA,c(-87.682685, 41.914482),602,"17031222200"
"250","6/13/2020","7XX W MELROSE ST","< 1","< 1","< 1",c(-87.6470336, 41.9412773),508,"17031062000"
"251","6/2/2019","67XX N ASHLAND AVE","1.6","11","2.7",c(-87.670533, 42.0035519),1766,"17031010600"
"252","8/22/2019","7XX W EVERGREEN AVE","< 1","< 1","< 1",c(-87.6469011, 41.9051662),2372,"17031842200"
"253","7/12/2018","26XX W CRYSTAL ST","3.1","4.2","3.4",c(-87.6920867, 41.9042085),112,"17031242600"
"254","2/14/2019","50XX N MELVINA","630","5.5","2.6",c(-87.7834017, 41.9722189),1902,"17031110300"
"255","9/7/2021","18XX W ROSCOE ST","<1.0","<1.0","<1.0",c(-87.6748169, 41.9435435),477,"17031050700"
"256","2/12/2022","63XX W BERTEAU AVE","0.8","3.5","<0.5",c(-87.7843953, 41.9567894),2981,"17031150502"
"257","4/8/2019","51XX S WOOD ST","1.2","< 1","< 1",c(-87.6696492, 41.8012741),331,"17031611700"
"258","2/24/2020","57XX N MANTON AVE","3.7","1.8","1",c(-87.7685115, 41.9858919),1901,"17031110100"
"259","8/22/2019","96XX S BISHOP ST","See Follow-Up Sequential Sampling Table for Results",NA,NA,c(-87.6578467, 41.6962736),73,"17031750100"
"260","5/25/2019","78XX S RHODES","See Follow-Up Sequential Sampling Table for Results",NA,NA,c(-87.6116133, 41.7528857),452,"17031691400"
"261","7/19/2018","114XX S MILLARD AVE","3.5","11","1.1",c(-87.71177, 41.685855),1234,"17031740400"
"262","11/30/2020","51XX N WOLCOTT AVE","1.5","1.1","< 1",c(-87.6766437, 41.9749619),698,"17031040402"
"263","2/6/2020","108XX S GREEN ST","2.7","3.6","1.3",c(-87.6440819, 41.6976757),73,"17031750100"
"264","10/24/2019","56XX W PATTERSON","See Follow-Up Sequential Sampling Table for Results",NA,NA,c(-87.7667812, 41.9467862),143,"17031150700"
"265","11/13/2018","43XX W HENDERSON ST","8.8","12","3.9",c(-87.7346495, 41.9417229),1035,"17031161300"
"266","9/17/2019","27XX S SACRAMENTO AVE","4.3","7.3","3.8",c(-87.6996714, 41.8410403),2137,"17031843500"
"267","8/1/2016","49XX N RIDGEWAY AVE","4.7","14","3.5",c(-87.7221846, 41.9702985),141,"17031140302"
"268","11/17/2018","35XX N KOLMAR AVE","4.5","19","2.3",c(-87.7412434, 41.9445443),2210,"17031161200"
"269","1/6/2020","21XX W CUYLER AVE","4.1","5.7","2.5",c(-87.681232, 41.9550573),1182,"17031050200"
"270","5/6/2019","40XX N LEAMINGTON AVE","5","8.3","5.6",c(-87.7559055, 41.9534569),2543,"17031150200"
"271","3/14/2019","21XX W DICKENS AVE","2.9","3.8","1.3",c(-87.7953371, 41.9182546),376,"17031250500"
"272","11/15/2021","17XX W SCHOOL ST","4.9","3.2","2.8",c(-87.6713766, 41.9416059),509,"17031062500"
"273","3/9/2018","96XX S WINCHESTER AVE","5.8","12","12",c(-87.6710808, 41.7191582),71,"17031720200"
"274","3/4/2016","18XX W CUYLER AVE","131","4.86","1.91",c(-87.674528, 41.9554507),756,"17031050100"
"275","8/12/2016","48XX W BERWYN AVE","5.9","3.5","3",c(-87.7480772, 41.977939),2980,"17031130200"
"276","9/21/2018","33XX W BERTEAU AVE","4.3","6.1","5.9",c(-87.7107903, 41.9577858),144,"17031160501"
"277","6/10/2019","60XX N KIMBALL AVE","5.7","9.8","2.1",c(-87.7139835, 41.9903236),2255,"17031130300"
"278","6/24/2019","40XX W CULLERTON ST","9.6","4.9","3.5",c(-87.7248275, 41.8544027),1208,"17031292400"
"279","8/31/2020","16XX N ROCKWELL ST","1.7","1.6","1.4",c(-87.6920973, 41.9103147),866,"17031240600"
"280","9/29/2016","46XX N HERMITAGE AVE","< 1","< 1","< 1",c(-87.6718095, 41.9660977),233,"17031031800"
"281","2/25/2021","10XX N MONTICELLO AVE","1.8","1.9","1",c(-87.7179492, 41.8992173),865,"17031231200"
"282","10/4/2016","2XX S RACINE AVE","< 1","< 1","< 1",c(-87.6572641, 41.8788559),631,"17031833100"
"283","4/18/2019","18XX W FARRAGUT AVE","6.5","5.8","3",c(-87.6751203, 41.9770119),1704,"17031040100"
"284","9/29/2019","4XX N CLINTON ST","< 1","< 1","< 1",c(-87.6407545, 41.8893482),1282,"17031842300"
"285","2/16/2016","51XX N OAKLEY AVE","3.86","2.12","1.55",c(-87.6869497, 41.9741165),1496,"17031040401"
"286","8/21/2019","18XX W ROSCOE ST","2.3","2.2","2.2",c(-87.6748169, 41.9435435),477,"17031050700"
"287","1/21/2020","110XX S EBERHART AVE","See Follow-Up Sequential Sampling Table for Results",NA,NA,c(-87.6112518, 41.6945082),2509,"17031490901"
"288","7/22/2019","60XX W PATTERSON AVE","< 1","3","< 1",c(-87.7767428, 41.9469266),2739,"17031170200"
"289","2/25/2020","20XX W 79TH PL","3.1","3.2","3",c(-87.6733103, 41.7495391),1226,"17031710500"
"290","3/7/2021","11XX N LEAVITT ST","2.5","3","1.1",c(-87.6821058, 41.9012926),1021,"17031242400"
"291","8/24/2021","77XX W VICTORIA ST","1.2","2.4","1.5",c(-87.8195467, 41.9847315),704,"17031100400"
"292","12/9/2019","20XX W HURON ST","3.4","11","3.7",c(-87.6771764, 41.8942507),3,"17031243000"
"293","4/23/2018","52XX N LA CROSSE AVE","3.9","2","1.5",c(-87.7492628, 41.9753111),967,"17031120400"
"294","9/23/2021","86XX S DREXEL AVE","1.8","5.5","1.5",c(-87.6027729, 41.7383572),220,"17031440102"
"295","9/3/2019","101XX S RHODES AVE","5.6","11","5",c(-87.6104937, 41.7108766),841,"17031490800"
"296","2/14/2020","54XX N MOBILE AVE","See Follow-Up Sequential Sampling Table for Results",NA,NA,c(-87.7856188, 41.9794245),1902,"17031110300"
"297","4/30/2018","27XX W AINSLIE ST","4.3","5","2",c(-87.6963249, 41.9707494),1180,"17031040201"
"298","5/2/2019","44XX N RICHMOND ST","5","10","2.6",c(-87.7021202, 41.9612345),2259,"17031140800"
"299","1/23/2022","X W CHESTNUT ST","1.5","2.9","<0.5",c(-87.6282607, 41.8980077),2676,"17031081100"
"300","7/30/2019","19XX S SPRINGFIELD AVE","2","3.8","2.3",c(-87.722688, 41.854883),1208,"17031292400"
"301","8/11/2018","31XX W ARGYLE ST","< 1","< 1","< 1",c(-87.7064701, 41.9722518),279,"17031140100"
"302","9/30/2020","9XX W 34TH ST","4.9","3.8","3.3",c(-87.6485832, 41.8327661),2673,"17031839700"
"303","11/3/2019","14XX W HIGHLAND AVE","3.9","4","2.2",c(-87.6659888, 41.9973014),129,"17031030200"
"304","7/3/2018","21XX W LELAND AVE","< 1","< 1","< 1",c(-87.6809598, 41.9671459),234,"17031040600"
"305","11/18/2021","50XX N ALBANY AVE","1.3","1.3","1.1",c(-87.7064047, 41.9722176),279,"17031140100"
"306","11/7/2019","26XX N KIMBALL AVE","< 1","< 1","< 1",c(-87.7126091, 41.9284503),2313,"17031220602"
"307","9/14/2021","36XX N LINDER AVE","2.9","7.1","2.6",c(-87.7645892, 41.9460424),143,"17031150700"
"308","1/24/2021","22XX N ORCHARD ST","5","7","3.3",c(-87.6464791, 41.9220002),2979,"17031071200"
"309","6/9/2021","27XX N HERMITAGE AVE","< 1","< 1","< 1",c(-87.6722851, 41.930637),2539,"17031070700"
"310","5/7/2019","84XX S CRANDON AVE","3.1","3.8","1.4",c(-87.5687975, 41.7424701),147,"17031460500"
"311","9/3/2019","56XX S SEELEY AVE","1.5","3.9","1",c(-87.6757332, 41.7919516),2817,"17031670500"
"312","7/30/2019","77XX S MERRILL AVE","< 1","2.5","1.1",c(-87.5726628, 41.7551309),219,"17031431200"
"313","7/11/2019","4XX W WINNECONNA PKWY","< 1","< 1","< 1",c(-87.6343832, 41.7540246),1814,"17031691200"
"314","12/15/2019","33XX N OLEANDER AVE","1.1","1.9","< 1",c(-87.8156523, 41.9397605),2544,"17031170800"
"315","8/31/2019","27XX W FARGO AVE","1.8","1.9","< 1",c(-87.6972772, 42.0166616),528,"17031020200"
"316","7/5/2016","48XX S DORCHESTER AVE","1","< 1","< 1",c(-87.5923051, 41.8076895),1710,"17031390600"
"317","2/19/2020","10XX N RIDGEWAY AVE","13","5.3","1.4",c(-87.7203467, 41.8991938),865,"17031231200"
"318","4/15/2020","33XX N KENMORE AVE","< 1","< 1","< 1",c(-87.6556081, 41.9419428),1539,"17031062200"
"319","12/20/2021","52XX W OAKDALE AVE","11","2.4","1.2",c(-87.7568243, 41.9342921),1038,"17031190300"
"320","5/13/2021","55XX S CORNELL AVE","< 1","< 1","< 1",c(-87.5856238, 41.7950886),2649,"17031411000"
"321","7/17/2018","21XX N SHEFFIELD AVE","2.7","2.8","2.2",c(-87.6537379, 41.9200504),1006,"17031071000"
"322","6/16/2021","17XX W AINSLIE ST","< 1","< 1","< 1",c(-87.6711067, 41.9718262),2714,"17031031000"
"323","7/8/2016","61XX N MCCLELLAN AVE","See Follow-Up Sequential Sampling Table for Results",NA,NA,c(-87.7691771, 41.9943622),1195,"17031120100"
"324","3/2/2021","32XX S SHIELDS AVE","< 1","< 1","< 1",c(-87.6355077, 41.8362302),2641,"17031340500"
"325","3/1/2020","17XX N ARTESIAN AVE","< 1","< 1","< 1",c(-87.68884, 41.91227),866,"17031240600"
"326","7/14/2019","54XX S MOBILE AVE","2.1","2.6","9.1",c(-87.7797186, 41.7941527),2007,"17031560800"
"327","9/8/2019","2XX N GARLAND CT","< 1","< 1","< 1",c(-87.625286, 41.885767),1982,"17031320100"
"328","7/29/2018","30XX W DIVERSEY AVE","< 1","< 1","< 1",c(-87.7027134, 41.932229),1042,"17031210700"
"329","5/8/2019","54XX N CAMPBELL AVE","< 1","< 1","< 1",c(-87.6920512, 41.9796869),3056,"17031040202"
"330","5/7/2019","40XX W 25TH ST","2.6","3.7","1.2",c(-87.7246168, 41.8460896),737,"17031301802"
"331","4/28/2019","49XX N NORDICA AVE","2.1","9.2","2",c(-87.8028702, 41.9702635),1482,"17031100700"
"332","7/24/2021","17XX N HONORE ST","5.4","7.8","5.7",c(-87.6738461, 41.9123834),110,"17031240300"
"333","7/10/2019","54XX N MOBILE AVE","6.6","8.1","2",c(-87.7856188, 41.9794245),1902,"17031110300"
"334","8/11/2018","97XX S HOYNE AVE","5.4","9.5","5.6",c(-87.6750067, 41.7172419),2026,"17031720300"
"335","7/3/2019","26XX N CENTRAL PARK AVE","3.5","5.1","2.2",c(-87.7170948, 41.9282615),2654,"17031220702"
"336","7/28/2021","36XX W Wrightwood Ave","See Follow-Up Sequential Sampling Table for Results",NA,NA,c(-87.7172424, 41.9284404),2654,"17031220702"
"337","8/17/2018","85XX S MUSKEGON AVE","See Follow-Up Sequential Sampling Table for Results",NA,NA,c(-87.555421, 41.7408676),1312,"17031460301"
"338","4/4/2019","56XX W HENDERSON ST","< 1","2.8","< 1",c(-87.7665872, 41.9413035),288,"17031151100"
"339","3/11/2021","59XX N EAST CIRCLE AVE","6.5","3","2",c(-87.7999145, 41.9885719),2750,"17031100300"
"340","1/28/2021","51XX S KEELER AVE","1.3","< 1","< 1",c(-87.7282537, 41.8004917),564,"17031570300"
"341","3/11/2020","54XX W FULLERTON AVE","< 1","< 1","< 1",c(-87.7613297, 41.9243308),293,"17031190702"
"342","12/26/2019","52XX S CORNELL AVE","< 1","< 1","< 1",c(-87.5863073, 41.8009774),826,"17031410100"
"343","8/23/2021","59XX N KILPATRICK AVE","3","7.9","3.6",c(-87.7462396, 41.9879783),278,"17031120300"
"344",NA,"115XX S PEORIA ST","Customer declined further testing",NA,NA,c(-87.6457361, 41.6842319),768,"17031530300"
"345","6/10/2018","20XX W EVERGREEN AVE","< 1","< 1","< 1",c(-87.6773251, 41.9060102),868,"17031241400"
"346","1/26/2019","36XX N BELL AVE","< 1","< 1","< 1",c(-87.6846111, 41.9467935),132,"17031050500"
"347","6/27/2019","7XX N ELIZABETH ST","< 1","< 1","< 1",c(-87.6594225, 41.8944028),1025,"17031243400"
"348","1/27/2019","13XX W 110TH ST","6.7","5.3","2",c(-87.654615, 41.6940299),73,"17031750100"
"349","1/22/2019","82XX S PEORIA ST","2.5","2.5","2.3",c(-87.6466094, 41.745006),2050,"17031710800"
"350","1/6/2020","65XX N NEWGARD AVE","3.2","2.1","1.3",c(-87.6670918, 42.0001081),1766,"17031010600"
"351","2/16/2019","40XX N MOBILE AVE","1.2","5.1","< 1",c(-87.7841064, 41.952953),2981,"17031150502"
"352","7/20/2021","49XX W WOLFRAM ST","2.6","6.2","2.3",c(-87.7492898, 41.9326295),2303,"17031190200"
"353","2/12/2019","53XX N OCONTO AVE","2.4","2.6","< 1",c(-87.8093332, 41.9764821),2647,"17031100500"
"354","2/11/2019","69XX N MONON AVE","6.4","4.4","< 1",c(-87.7827351, 42.0068645),1195,"17031120100"
"355","7/11/2018","18XX N CALIFORNIA AVE","< 1","< 1","< 1",c(-87.6971992, 41.9139171),375,"17031240800"
"356","5/20/2019","111XX S AVENUE N","2.4","1.7","1.5",c(-87.5391798, 41.693537),1998,"17031520600"
"357","9/23/2021","77XX W FOREST PRESERVE AVE","7.4","7.5","6.7",c(-87.8194706, 41.9479073),1037,"17031170500"
"358","8/19/2019","50XX W WILSON AVE","3.3","8.8","2.7",c(-87.7527375, 41.9645819),2543,"17031150200"
"359","2/9/2019","67XX N OKETO AVE","2.1","1.9","1",c(-87.811619, 42.0024981),1192,"17031090200"
"360","5/10/2019","20XX N KENNETH AVE","2.5","2.6","1.4",c(-87.7375361, 41.917035),295,"17031200401"
"361","10/11/2019","95XX S WOODLAWN AVE","4.2","7.6","2.5",c(-87.5949794, 41.7220445),845,"17031500100"
"362","10/4/2021","3XX W 27th St","<1.0","<1.0","<1.0",c(-87.6327901, 41.8439736),344,"17031340400"
"363","8/11/2021","47XX W PARKER AVE","<1.0","<1.0","<1.0",c(-87.744329, 41.9308614),684,"17031190900"
"364","8/29/2019","2XX W WASHINGTON ST","< 1","< 1","< 1",c(-87.6338765, 41.8832277),1247,"17031839100"
"365","10/11/2016","101XX S SEELEY AVE","3.60","11.00","10.00",c(-87.6740791, 41.7099915),2026,"17031720300"
"366","10/14/2019","33XX W CULLOM AVE","2.7","3.4","3.1",c(-87.7108307, 41.9595998),144,"17031160501"
"367","10/28/2019","55XX W ARDMORE","See Follow-Up Sequential Sampling Table for Results",NA,NA,c(-87.7651671, 41.9861366),1901,"17031110100"
"368","3/17/2020","51XX N KOLMAR AVE","3.1","7.3","2.2",c(-87.7421757, 41.9736909),2257,"17031140400"
"369","11/18/2019","58XX N BERNARD ST","7","7.9","2.6",c(-87.7153745, 41.986808),2255,"17031130300"
"370","11/21/2018","23XX W MELROSE ST","12","6.1","3.3",c(-87.6856478, 41.9403875),1185,"17031051000"
"371","11/4/2018","19XX N OAKLEY AVE","< 1","< 1","< 1",c(-87.684886, 41.9162056),602,"17031222200"
"372","10/27/2020","14XX W 71ST PL","3.9","8.3","1.5",c(-87.6591341, 41.764263),436,"17031671900"
"373","3/24/2020","105XX S HARDING AVE","4.6","5.9","1.3",c(-87.7195523, 41.7022243),1232,"17031740200"
"374","6/6/2016","40XX N KENMORE AVE","< 1","< 1","< 1",c(-87.6564695, 41.9546032),1488,"17031830700"
"375","4/24/2019","63XX N TALMAN AVE","4.8","2.9","2.6",c(-87.6962835, 41.9959416),1769,"17031020802"
"376","5/12/2020","23XX N LINCOLN PARK W","< 1","< 1","< 1",c(-87.6370405, 41.924216),2540,"17031071400"
"377","3/21/2021","57XX S TRUMBULL AVE","2.4","1.5","< 1",c(-87.7098553, 41.7896697),2089,"17031630900"
"378","3/20/2019","39XX N HOYNE AVE","5.3","3.7","2.1",c(-87.6814011, 41.9524057),132,"17031050500"
"379","7/24/2016","16XX W BRYN MAWR AVE","< 1","< 1","< 1",c(-87.669882, 41.9834766),637,"17031030400"
"380","5/5/2019","78XX W CATALPA AVE","5.1","5","2.1",c(-87.8220062, 41.9798156),2647,"17031100500"
"381","6/10/2019","106XX S NORMAL AVE","9.2","17","19",c(-87.6357158, 41.7014037),843,"17031491100"
"382","1/10/2022","76XX S Dr Martin Luther King Jr Dr","6.1","15","2.5",c(-87.615358, 41.756474),567,"17031691300"
"383","8/1/2018","9XX N WILLARD CT","< 1","< 1","< 1",c(-87.6585506, 41.8982877),1282,"17031842300"
"384","12/30/2021","50XX N CLAREMONT AVE","<0.5","<0.5","<0.5",c(-87.6877871, 41.9722656),1496,"17031040401"
"385","2/10/2020","67XX S NORMAL BLVD","See Follow-Up Sequential Sampling Table for Results",NA,NA,c(-87.637629, 41.7724199),2124,"17031681200"
"386","3/11/2022","25XX N KIMBALL AVE","<0.5","<0.5","<0.5",c(-87.7124702, 41.9266026),2313,"17031220602"
"387","1/14/2020","4XX W 99TH ST","5.1","5","2.3",c(-87.6337782, 41.7142346),1993,"17031730500"
"388","9/18/2019","90XX S HOYNE AVE","1.6","6","1.7",c(-87.6750146, 41.7300113),247,"17031720100"
"389","11/3/2019","6XX W ALDINE AVE","1.4","< 1","1.3",c(-87.6444607, 41.9418609),1538,"17031061901"
"390","7/27/2021","44XX N Bernard St","See Follow-Up Sequential Sampling Table for Results",NA,NA,c(-87.7145192, 41.9612879),2258,"17031140702"
"391","2/2/2017","53XX S MICHIGAN AVE","< 1","< 1","< 1",c(-87.6227642, 41.7980121),1711,"17031400300"
"392","6/13/2016","18XX N NATOMA AVE","4","6.3","2.1",c(-87.7914937, 41.912851),376,"17031250500"
"393","9/3/2019","91XX S OAKLEY AVE","8.6","3.1","1.3",c(-87.6798496, 41.7282419),247,"17031720100"
"394","3/3/2020","81XX S FRANCISCO AVE","2.5","2.5","< 1",c(-87.6949611, 41.7462707),2047,"17031700501"
"395","7/15/2019","60XX S MELVINA AVE","3","2.3","1.3",c(-87.7768321, 41.7831535),2090,"17031640300"
"396","9/16/2020","63XX W GRACE ST","< 1","< 1","< 1",c(-87.7841284, 41.9495346),2739,"17031170200"
"397","10/14/2019","58XX N CENTRAL AVE","3.2","13","4.4",c(-87.7684484, 41.9860784),1901,"17031110100"
"398","8/7/2019","75XX N OSCEOLA AVE","< 1","3","< 1",c(-87.8129649, 42.017164),1898,"17031090100"
"399","12/30/2021","58XX W GRACE ST","4.3","3.7","2.7",c(-87.7717789, 41.9494641),287,"17031150600"
"400","12/8/2019","17XX W SUMMERDALE AVE","8.9","< 1","< 1",c(-87.6723614, 41.9790024),703,"17031030900"
"401","10/1/2018","46XX N MALDEN ST","< 1","< 1","< 1",c(-87.6627606, 41.9654102),130,"17031031700"
"402","9/2/2021","85XX S KOLIN AVE","3.9","2","1.3",c(-87.7303778, 41.738222),2046,"17031700302"
"403","6/9/2019","16XX W LE MOYNE ST","< 1","< 1","< 1",c(-87.6678602, 41.9092206),549,"17031241500"
"404","4/8/2019","36XX S HERMITAGE AVE","2.6","2.2","1.7",c(-87.6691968, 41.8287041),1833,"17031590700"
"405","1/3/2017","41XX N PARKSIDE AVE","3.6","5","7.7",c(-87.7685863, 41.9551225),286,"17031150402"
"406","9/1/2018","68XX N WAUKESHA AVE","5.4","14","9.7",c(-87.7653534, 42.0056696),2254,"17031120200"
"407","3/11/2019","52XX W WARNER AVE","4","4.7","4.9",c(-87.7574568, 41.9562858),2242,"17031150300"
"408","10/28/2016","18XX N DAYTON ST","< 1","< 1","< 1",c(-87.6497469, 41.9140009),1118,"17031832600"
"409","8/19/2019","51XX W POTOMAC AVE","2.2","7.7","3.6",c(-87.7533615, 41.9040846),2517,"17031250800"
"410","10/13/2021","87XX S DORCHESTER AVE","3.1","6.1","3.8",c(-87.5905577, 41.7368427),1835,"17031480200"
"411","4/26/2019","92XX S WABASH AVE","1.4","3.6","< 1",c(-87.6227457, 41.7271154),839,"17031490300"
"412","11/28/2018","35XX W LYNDALE ST","< 1","< 1","< 1",c(-87.7136589, 41.9218991),2315,"17031221000"
"413","8/8/2018","54XX N PAULINA ST","< 1","< 1","< 1",c(-87.6721603, 41.9797877),703,"17031030900"
"414","2/28/2020","48XX S KEDVALE AVE","2.7","9.4","1.5",c(-87.7274976, 41.8058744),564,"17031570300"
"415","10/6/2019","13XX W COLUMBIA AVE","5.5","5.1","3.5",c(-87.663824, 42.004765),771,"17031010502"
"416","7/2/2018","19XX W SUNNYSIDE AVE","< 1","< 1","< 1",c(-87.676374, 41.963538),2327,"17031830800"
"417","12/15/2021","11XX W 19TH ST","<0.5","<0.5","<0.5",c(-87.6531669, 41.8566384),552,"17031310400"
"418","8/11/2019","33XX N DAMEN AVE","< 1","< 1","< 1",c(-87.678719, 41.9415064),478,"17031051100"
"419","10/2/2016","61XX N WOLCOTT AVE","1.6","< 1","< 1",c(-87.6771004, 41.9919349),3111,"17031020902"
"420","7/25/2019","104XX S SAWYER AVE","2.8","14","2.8",c(-87.7028369, 41.7041977),1232,"17031740200"
"421","12/30/2020","81XX S LOOMIS BLVD","< 1","< 1","< 1",c(-87.658854, 41.7466508),2049,"17031710600"
"422","10/22/2019","107XX S Wallace St","10.0","15.0","5.5",c(-87.6379469, 41.6995448),843,"17031491100"
"423","5/1/2019","20XX N HAMLIN AVE","2.1","4.6","1.7",c(-87.7216539, 41.9172342),2983,"17031220901"
"424","5/12/2021","12XX N PAULINA ST","< 1","< 1","< 1",c(-87.6704173, 41.9032982),111,"17031242100"
"425","5/30/2018","108XX S TROY ST","< 1","< 1","< 1",c(-87.700119, 41.696902),2507,"17031740100"
"426","4/22/2021","49XX N OAK PARK AVE","4.6","4.8","2",c(-87.7967902, 41.9703071),1482,"17031100700"
"427","10/25/2020","11XX N LAKE SHORE DR","< 1","< 1","< 1",c(-87.6248358, 41.9026385),1552,"17031081202"
"428","4/30/2018","44XX N CALIFORNIA AVE","< 1","< 1","< 1",c(-87.6984677, 41.9612692),2259,"17031140800"
"429","12/22/2020","40XX W MELROSE ST","< 1","< 1","< 1",c(-87.7272076, 41.9399966),1092,"17031831100"
"430","7/18/2021","19XX W EVERGREEN AVE","8.8","15","8.5",c(-87.6745954, 41.907163),868,"17031241400"
"431","4/14/2019","98XX S OAKLEY AVE","3.9","7.9","4.5",c(-87.6797955, 41.7154417),2026,"17031720300"
"432","9/7/2019","23XX N KIMBALL AVE","2.4","7.2","2.4",c(-87.7124219, 41.9229618),1044,"17031221100"
"433","8/25/2016","77XX W BERWYN AVE","2.1","7.8","2.2",c(-87.8195564, 41.9762447),2647,"17031100500"
"434","11/4/2016","17XX E 85TH PL","1.8","< 1","< 1",c(-87.5826308, 41.7399426),1810,"17031450300"
"435","4/29/2019","28XX W AINSLIE ST","< 1","3.6","1.2",c(-87.699386, 41.9707233),2537,"17031040300"
"436","5/30/2021","39XX N PINE GROVE AVE","< 1","< 1","< 1",c(-87.6482047, 41.9531669),3095,"17031060800"
"437","8/20/2019","61XX S MONITOR AVE","2.1","3.8","2.4",c(-87.7682627, 41.7814655),2090,"17031640300"
"438","9/26/2018","20XX W GREENLEAF AVE","< 1","< 1","< 1",c(-87.6805626, 42.0103693),3109,"17031010701"
"439","11/24/2018","14XX W BRYN MAWR AVE","5.6","3.1","2.2",c(-87.6651641, 41.9837851),2713,"17031030500"
"440","1/24/2020","109XX S CALIFORNIA AVE","4.5","3.2","1.4",c(-87.6910663, 41.6953181),3108,"17031750300"
"441","10/31/2019","6XX N SPRINGFIELD AVE","3.4","3.6","3.1",c(-87.7237851, 41.8919666),713,"17031231500"
"442","8/15/2019","52XX S NORMANDY AVE","2.6","7.2","1.6",c(-87.789588, 41.7976038),2741,"17031560900"
"443","1/13/2020","13XX N HOYNE AVE","< 1","< 1","< 1",c(-87.6797342, 41.9049628),868,"17031241400"
"444","7/29/2018","70XX N OZARK AVE","1.9","2.8","2.4",c(-87.8203944, 42.0079509),1192,"17031090200"
"445","9/3/2018","19XX W DIVERSEY PKWY","< 1","< 1","< 1",c(-87.6756854, 41.9323216),133,"17031051300"
"446","10/7/2016","95XX S CLAREMONT AVE","See Follow-Up Sequential Sampling Table for Results",NA,NA,c(-87.6808338, 41.7208836),2026,"17031720300"
"447","8/14/2019","19XX W BRADLEY PL","14","7.9","3.6",c(-87.6763635, 41.9498583),1499,"17031050600"
"448","12/26/2019","6XX W WILLOW ST","< 1","< 1","< 1",c(-87.6435186, 41.9138862),758,"17031071700"
"449","1/26/2020","26XX N SACRAMENTO AVE","3.9","5.1","1.1",c(-87.7024278, 41.9291184),2312,"17031220400"
"450","8/13/2018","13XX W NORWOOD ST","5.5","13","4.9",c(-87.6629774, 41.9920508),129,"17031030200"
"451","10/20/2019","16XX N MEADE AVE","2.9","5.1","1.6",c(-87.7776494, 41.9092405),1941,"17031250400"
"452","8/17/2019","54XX S CORNELL AVE","2.5","11","2.6",c(-87.5859965, 41.7977554),1519,"17031410900"
"453","8/22/2019","35XX W 76TH ST","4","5.8","3.3",c(-87.7100542, 41.7553633),1822,"17031700100"
"454","12/31/2019","31XX W PALMER BLVD","1.3","1.4","< 1",c(-87.7055117, 41.921804),298,"17031221200"
"455","7/23/2019","49XX W BARRY AVE","5.7","17","13",c(-87.7494798, 41.9371698),2303,"17031190200"
